Part,Quantity,price(INR),price(USD),link
"Promicro NRF52840","2","758.00","7.98","https://robu.in/product/promicro-nrf52840-development-board/"
"3.7V LiPo Battery","2","139.00","1.46","https://robocraze.com/products/witty-fox-120mah-rechargeable-3-7v-lipo-battery?_pos=6&_sid=47fff7de1&_ss="
"Slide Switch","2","9","0.095","https://robocraze.com/products/slide-switch-3-pin-2-way-spdt?_pos=1&_sid=5bdbba5e9&_ss=r"
"Stand off","12","25","0.26","https://quartzcomponents.com/products/m3-x-10mm-female-to-female-nickel-plated-brass-hex-threaded-pillar-standoff-spacer-pack-of-4-pc?srsltid=AfmBOoqKSATpMRCvpfYnO_aOGEayFTTyo2ozcalroCYJ79QNntu-CT_j"
"Magnets","1","275","2.90","https://www.amazon.in/ART-IFACT-4mm-Round-Disk/dp/B0GFWH1TSV?ref_=Oct_d_orecs_d_3591242031_3&pd_rd_w=NrsPx&content-id=amzn1.sym.53468083-cc20-4d00-bd56-23505c8eb8c3&pf_rd_p=53468083-cc20-4d00-bd56-23505c8eb8c3&pf_rd_r=7XY205BHY6D89JFAQNGF&pd_rd_wg=S8d2w&pd_rd_r=2415a8be-7972-48b4-95de-521e4a5035c5&pd_rd_i=B0GFWH1TSV"
"M3 Screws","12","1.6","0.02","https://onlyscrews.in/products/chhd-m3-x-6mm-pack-of-22"
"Gateron Switches","70","199","2.10","https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-mechanical-pro-switch-5pin/?srsltid=AfmBOorgmVOZb0u9DkI4ZCt7RVFLX5Wy3gB1b4_5lnGXyiva7xzfVLfr"
"Keycaps(Purple)","1","1299","13.71","https://curiositycaps.in/products/fragrance-backlit-cherry-pbt-keycap?_pos=26&_fid=34c079692&_ss=c"
"Keycaps(Blue)","1","1299","13.71","https://curiositycaps.in/products/blue-gradient-side-backlit-cherry-pbt-keycaps?_pos=27&_fid=34c079692&_ss=c"
"Diode(1N4148)","70","1.54","0.02","https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWfSfYH3b6JsF08tQy6CYGKa2&gclid=CjwKCAjw3ejRBhAdEiwADkqPn-QAkLgKUPqwyf5bGNX7XTmVxYJCNFO2ZrdXqTbUgrOG83KAMbka1RoCtHYQAvD_BwE"
